Species_ID,Subclass,Order,Superfamily,Family,Biovolume_mm3,Genus,Species,B0 Order,tiering,motility,feeding,ecospace
Cus125,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,512.0614237,Cuspidaria,Cuspidaria sp. 346,0.42,5,2,5,525
Cus126,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,512.0614237,Cuspidaria,Cuspidaria sp. 519,0.42,5,2,5,525
Cus127,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,512.0614237,Myonera,Myonera angularis,0.42,5,2,5,525
Cus129,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,472.3026639,Cuspidaria,Cuspidaria inflata,0.42,5,2,5,525
Cus130,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,179.957551,Cardiomya ,Cardiomya gemma,0.42,5,3,5,535
Cus131,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,1564.351717,Cardiomya,Cardiomya sp.,0.42,5,3,5,535
Cus132,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,1564.351717,Cardiomya,Cardiomya sp. 1,0.42,5,3,5,535
Cus133,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,512.0614237,Cuspidaria,Cuspidaria sp. 3,0.42,5,2,5,525
Cus134,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,936.1830633,Cuspidaria ,Cuspidaria teres,0.42,5,2,5,525
Cus135,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,168.0477913,Myonera,Myonera sp. 1,0.42,5,2,5,525
Cus136,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,168.0477913,Myonera,Myonera sp. 2,0.42,5,2,5,525
Cus137,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,168.0477913,Myonera,Myonera sp. 3,0.42,5,2,5,525
Cus138,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,168.0477913,Myonera,Myonera sp. 5,0.42,5,2,5,525
Cus139,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,50.1581557,Protocuspidaria,Protocuspidaria simplis,0.42,5,2,5,525
Cus140,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,41.42060451,Rhinoclama,Rhinoclama sp.,0.42,5,2,5,525
Cus141,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,25.58134438,Tropidomya,Tropidomya sp.,0.42,5,2,5,525
Cus16,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,1501.762354,Myonera,Myonera paucistriata,0.42,5,2,5,525
Cus19,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,621.5942945,Cuspidaria,Cuspidaria obesa,0.42,5,2,5,525
Cus20,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,25.95790932,Cuspidaria,Cuspidaria parva,0.42,5,2,5,525
Cus21,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,512.0614237,Cuspidaria,Cuspidaria sp. 1,0.42,5,2,5,525
Cus22,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,512.0614237,Cuspidaria,Cuspidaria sp. 2,0.42,5,2,5,525
Cus23,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,36.81522479,Myonera,Myonera atlantica,0.42,5,2,5,525
Cus24,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,168.0477913,Myonera,Myonera sp.,0.42,5,2,5,525
Cus25,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,82.94653394,Rhinoclama,Rhinoclama notabilis,0.42,5,2,5,525
Cus26,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,25.88305346,Luzonia,Luzonia simplex,0.42,5,2,5,525
Cus27,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,44.00487408,Cuspidaria,Cuspidaria atlantica,0.42,5,2,5,525
Cus28,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,512.0614237,Cuspidaria,Cuspidaria circinata,0.42,5,2,5,525
Cus29,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,78.97025419,Cardiomya,Cardiomya costellata,0.42,5,3,5,535
Cus30,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,6776.970465,Cardiomya,Cardiomya knudseni,0.42,5,3,5,535
Cus31,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,51.75969482,Tropidomya,Tropidomya abbreviata,0.42,5,2,5,525
Cus33,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,148.4556087,Protocuspidaria,Protocuspidaria verityi,0.42,5,2,5,525
Cus34,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,54.26796532,Edentaria,Edentaria simplis,0.42,5,2,5,525
Cus35,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,2951.550069,Cuspidaria,Cuspidaria cuspidata,0.42,5,2,5,525
Cus36,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,40.22506371,Cuspidaria,Cuspidaria jeffreysi,0.42,5,2,5,525
Cus37,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,512.0614237,Cuspidaria,Cuspidaria barnardi,0.42,5,2,5,525
Cus38,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,7676.244779,Cuspidaria,Cuspidaria undata,0.42,5,2,5,525
Cus39,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,15426.92662,Cuspidaria,Cuspidaria ventricosa,0.42,5,2,5,525
Cus41,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,1564.351717,Cardiomya,Cardiomya curta,0.42,5,3,5,535
Cus42,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,232.7276789,Myonera,Myonera demistriata,0.42,5,2,5,525
Cus43,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,34.09995432,Myonera,Myonera octaporosa,0.42,5,2,5,525
Cus44,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,91.22424249,Rhinoclama,Rhinoclama abrupta,0.42,5,2,5,525
Cus45,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,2.615560573,Rhinoclama,Rhinoclama halimera,0.42,5,2,5,525
Cus46,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,10.13696076,Tropidomya,Tropidomya diagonalis,0.42,5,2,5,525
Cus47,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,101.4347265,Halonympha,Halonympha depressa,0.42,5,2,5,525
Cus48,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,21.49506573,Halonympha ,Halonympha atlanta,0.42,5,2,5,525
Cus49,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,249.5672448,Bidentaria ,Bidentaria atlantica,0.42,5,3,5,535
Cus9,Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,4839.506173,Bathyneaera,Bathyneaera tillamookensis,0.42,5,2,5,525
Gal21,Heterodonta,Veneroida,Galeommatoidea,,164.11,Galeommatoidea ,Galeommatoidea sp.,0.42,5,3,1,531
Inc1,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 1a,, , , , 
Inc11,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 100,, , , , 
Inc13,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 115,, , , , 
Inc14,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 119,, , , , 
Inc15,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 121,, , , , 
Inc16,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 122,, , , , 
Inc17,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 131,, , , , 
Inc18,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 146,, , , , 
Inc2,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 1b,, , , , 
Inc20,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 186,, , , , 
Inc22,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 189,, , , , 
Inc25,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 203a,, , , , 
Inc26,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 203b,, , , , 
Inc27,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 236,, , , , 
Inc28,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 237,, , , , 
Inc29,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 240,, , , , 
Inc3,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 2,, , , , 
Inc30,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 256,, , , , 
Inc31,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 262,, , , , 
Inc32,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 291a,, , , , 
Inc33,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 291b,, , , , 
Inc34,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 299,, , , , 
Inc35,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 301,, , , , 
Inc36,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 313,, , , , 
Inc37,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 314,, , , , 
Inc38,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 318,, , , , 
Inc39,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 323,, , , , 
Inc4,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 3,, , , , 
Inc41,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 328,, , , , 
Inc42,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 330,, , , , 
Inc43,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 334a,, , , , 
Inc44,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 334b,, , , , 
Inc45,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 335,, , , , 
Inc46,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 346,, , , , 
Inc47,,,,Incerte cedis,164.11,Incerte cedis,Incerte cedis,, , , , 
Inc48,,,,Incerte cedis,164.11,Incerte cedis,Incerte cedis sp. 1,, , , , 
